category,name,prompt,negative_prompt
Main Style,Inactive,{prompt},{prompt}
Main Style,FOCUS Photography,"masterpiece photograph, {prompt}, award-winning, sharp focus, ultra detailed, 8k, photograph, bokeh, intricate detail, eye catching","{prompt}, (watermark), hands, camera, lighting equipment, illustration, drawing, CGI, 3D art, graphic design, painting, text, low-quality, signature, moire pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, exaggerated limbs, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch"
Main Style,FOCUS Portraits,"masterpiece portrait, {prompt}, catch light, award-winning, natural skin, (goosebumps:0.5), subsurface scattering, sharp focus, ultra detailed, 8k, bokeh, intricate detail, eye catching","{prompt}, (watermark), hands, camera, lighting equipment, illustration, drawing, CGI, 3D art, graphic design, painting, text, low-quality, signature, moire pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, exaggerated limbs, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch"
Main Style,FOCUS Macros,"masterpiece, macro photography, extreme close-up, {prompt}, macro 100mm, shallow depth of field, sharp focus, hd, ultra detailed, 8k, eye catching","{prompt}, (watermark), hands, camera, lighting equipment, illustration, drawing, CGI, 3D art, graphic design, painting, text, low-quality, signature, moire pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, exaggerated limbs, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch"
Main Style,FOCUS Landscapes,"long shot scenic professional photograph of {prompt}, award-winning, perfect viewpoint, highly detailed, with dramatic sky, polarizing filter, vivid colors, everything in sharp focus, HDR, UHD, 64K, eye catching","{prompt}, (watermark), hands, camera, lighting equipment, illustration, drawing, CGI, 3D art, graphic design, painting, text, low-quality, signature, moire pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, exaggerated limbs, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch"
Main Style,FOCUS Fine Art,"Fine-art photo, (minimalist art), {prompt}, artistic, contemporary, symbolic   ",
Lighting,Inactive,{prompt},{prompt}
Lighting,Warm,", 4000k, rim light, front light, crepuscular rays, volumetric light",
Lighting,Cold,", 6500k, rim light, front light, crepuscular rays, volumetric light",
Lighting,Nightclub,", bisexual lighting, foggy, rim light, low key, dark, dramatic lighting, deep shadow, high contrast",
Lighting,Natural,", natural light, 2pm, well-lit, front light, soft shadows ",
Lighting,Low Key,", hard light, low key, dramatic lighting, dim lighting, dark environment, high contrast, rim light, deep shadows ",
Lighting,High Key,", soft light, high key, bright environment, rim light, well-lit, soft shadows ",
Lighting,Flashlight,", hard light, flashlight, flash photo, low key, dark environment, night, harsh lighting, high contrast, deep shadows ",
Lighting,Studio,", full studio lighting, bounce lighting, professional",
Camera,Inactive,{prompt},{prompt}
Camera,Old Polaroid,", shot with a old Polaroid camera",
Camera,Point and shoot,", shot with a cheap point-and-shoot camera",
Camera,Canon EOS 5D Mark IV with Canon EF 24-70mm f/2.8L II,", shot with a Canon EOS 5D Mark IV with Canon EF 24-70mm f/2.8L II",
Camera,Canon PowerShot G5 X Mark II with Built-in 8.8-44mm f/1.8-2.8,", shot with a Canon PowerShot G5 X Mark II with Built-in 8.8-44mm f/1.8-2.8",
Camera,DJI Mavic Air 2 with Built-in 24mm f/2.8 (drone camera),", shot with a DJI Mavic Air 2 with Built-in 24mm f/2.8 (drone camera)",
Camera,Fujifilm X-S10 with Fujinon XF 10-24mm f/4 R OIS WR,", shot with a Fujifilm X-S10 with Fujinon XF 10-24mm f/4 R OIS WR",
Camera,FujiFilm X-T4 with Fujinon XF 35mm f/2 R WR,", shot with a FujiFilm X-T4 with Fujinon XF 35mm f/2 R WR",
Camera,GoPro HERO9 with Built-in f/2.8 Ultra-Wide (action camera),", shot with a GoPro HERO9 with Built-in f/2.8 Ultra-Wide (action camera)",
Camera,Hasselblad X1D II with Hasselblad XCD 65mm f/2.8,", shot with a Hasselblad X1D II with XCD 65mm f/2.8",
Camera,Kodak PIXPRO AZ901 with Built-in 4.3-258mm f/2.9-6.7 (superzoom),", shot with a Kodak PIXPRO AZ901 with Built-in 4.3-258mm f/2.9-6.7 (superzoom)",
Camera,Leica CL with Leica Summilux-TL 35mm f/1.4 ASPH,", shot with a Leica CL with Leica Summilux-TL 35mm f/1.4 ASPH",
Camera,Nikon Coolpix P950 with Built-in 24-2000mm f/2.8-6.5 (superzoom),", shot with a Nikon Coolpix P950 with Built-in 24-2000mm f/2.8-6.5 (superzoom)",
Camera,Nikon D850 with Nikkor 50mm f/1.8,", shot with a Nikon D850 with Nikkor 50mm f/1.8",
Camera,Olympus OM-D E-M5 Mark III with M.Zuiko 40-150mm f/2.8,", shot with a Olympus OM-D E-M5 Mark III with M.Zuiko 40-150mm f/2.8",
Camera,Panasonic Lumix G9 with Leica DG 42.5mm f/1.2,", shot with a Panasonic Lumix G9 with Leica DG 42.5mm f/1.2",
Camera,Panasonic S1R with Lumix S 50mm f/1.4,", shot with a Panasonic S1R with Lumix S 50mm f/1.4",
Camera,Pentax 645Z with Pentax-D FA 645 55mm f/2.8,", shot with a Pentax 645Z with Pentax-D FA 645 55mm f/2.8",
Camera,Sigma fp with Sigma 45mm f/2.8 DG DN,", shot with a Sigma fp with Sigma 45mm f/2.8 DG DN",
Camera,Sony A6400 with Sony E 35mm f/1.8 OSS,", shot with a Sony A6400 with Sony E 35mm f/1.8 OSS",
Camera,Sony A7R IV with Sony FE 85mm f/1.4 GM,", shot with a Sony A7R IV with Sony FE 85mm f/1.4 GM",
Camera,Sony RX100 VII with Built-in 24-200mm f/2.8-4.5 (compact camera),", shot with a Sony RX100 VII with Built-in 24-200mm f/2.8-4.5 (compact camera)",
